"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1100","test_hotel_list","test","Mon Mar 16 17:19:43 UTC 2026","passed","Mon Mar 16 17:19:44 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","2898","Hootel Login","test","Mon Mar 16 17:19:37 UTC 2026","passed","Mon Mar 16 17:19:40 UTC 2026","TestHootel","test_hootel","",""
